City,Building ID,Class_x,Year,Gross Rental Income,Lost Rent,Effective Gross Income,Operating Expenses,Net Operating Income,Class_y,Studio Units,1-Bedroom Units,Studio Rent,1-Bedroom Rent,Initial Equity Investment,Equity Reversion,Rent CAGR,Vacancy Rate,Operating Expense Ratio
Fairview,365743,B,1,2065901.32317959,152633.686636087,1913267.6365435,1069644.2895581226,843623.3469853774,B,40,36,1904.40756192809,2666.17058669933,27181417.749745775,29046194.94109455,0.05000000000000093,0.07388237033566104,0.559066734380422
Fairview,365743,B,2,2169196.38933857,160265.370967891,2008931.01837068,1123126.5040360317,885804.5143346484,B,40,36,1904.40756192809,2666.17058669933,27181417.749745775,29046194.94109455,0.05000000000000093,0.07388237033566104,0.559066734380422
Fairview,365743,B,3,2277656.2088055,168278.639516286,2109377.56928921,1179282.8292378308,930094.740051379,B,40,36,1904.40756192809,2666.17058669933,27181417.749745775,29046194.94109455,0.05000000000000093,0.07388237033566104,0.559066734380422
Fairview,365743,B,4,2391539.01924578,176692.5714921,2214846.44775368,1238246.9706997278,976599.4770539522,B,40,36,1904.40756192809,2666.17058669933,27181417.749745775,29046194.94109455,0.05000000000000093,0.07388237033566104,0.559066734380422
Fairview,365743,B,5,2511115.97020807,185527.200066705,2325588.77014136,1300159.3192347118,1025429.4509066481,B,40,36,1904.40756192809,2666.17058669933,27181417.749745775,29046194.94109455,0.05000000000000093,0.07388237033566104,0.559066734380422
Fairview,526013,C,1,1096325.00271952,80637.5171452222,1015687.4855743,656503.2356042841,359184.24997001595,C,43,25,1171.28739606787,1639.80235449502,26196792.28839059,28200143.148587555,0.05000000000000138,0.07355256602302625,0.646363418796164
Fairview,526013,C,2,1151141.2528555,84669.3930024834,1066471.85985302,689328.3973845014,377143.4624685185,C,43,25,1171.28739606787,1639.80235449502,26196792.28839059,28200143.148587555,0.05000000000000138,0.07355256602302625,0.646363418796164
Fairview,526013,C,3,1208698.31549828,88902.8626526076,1119795.45284567,723794.817253726,396000.6355919441,C,43,25,1171.28739606787,1639.80235449502,26196792.28839059,28200143.148587555,0.05000000000000138,0.07355256602302625,0.646363418796164
Fairview,526013,C,4,1269133.23127319,93348.0057852379,1175785.22548795,759984.5581164099,415800.6673715401,C,43,25,1171.28739606787,1639.80235449502,26196792.28839059,28200143.148587555,0.05000000000000138,0.07355256602302625,0.646363418796164
Fairview,526013,C,5,1332589.89283685,98015.4060744998,1234574.48676235,797983.786022232,436590.7007401179,C,43,25,1171.28739606787,1639.80235449502,26196792.28839059,28200143.148587555,0.05000000000000138,0.07355256602302625,0.646363418796164
Fairview,768416,A,1,2658707.32281672,137156.817784431,2521550.50503229,1393559.369954507,1127991.1350777827,A,35,40,2434.71366558308,3408.59913181631,27222925.371284522,29023195.075048182,0.04999999999999982,0.05158778350943969,0.552659709640304
Fairview,768416,A,2,2791642.68895756,144014.658673653,2647628.0302839,1463237.3384522302,1184390.6918316698,A,35,40,2434.71366558308,3408.59913181631,27222925.371284522,29023195.075048182,0.04999999999999982,0.05158778350943969,0.552659709640304
Fairview,768416,A,3,2931224.82340544,151215.391607335,2780009.4317981,1536399.2053748444,1243610.2264232556,A,35,40,2434.71366558308,3408.59913181631,27222925.371284522,29023195.075048182,0.04999999999999982,0.05158778350943969,0.552659709640304
Fairview,768416,A,4,3077786.06457571,158776.161187702,2919009.90338801,1613219.1656435893,1305790.7377444205,A,35,40,2434.71366558308,3408.59913181631,27222925.371284522,29023195.075048182,0.04999999999999982,0.05158778350943969,0.552659709640304
Fairview,768416,A,5,3231675.36780449,166714.969247087,3064960.39855741,1693880.1239257685,1371080.2746316416,A,35,40,2434.71366558308,3408.59913181631,27222925.371284522,29023195.075048182,0.04999999999999982,0.05158778350943969,0.552659709640304
Fairview,424555,A,1,3578182.32383709,503971.816573618,3074210.50726347,1820997.0052783343,1253213.5019851357,A,26,61,2676.67738168544,3747.34833435961,20956205.95238284,22282070.03670107,0.050000000000000266,0.14084576216708258,0.592346230349498
Fairview,424555,A,2,3757091.44002895,529170.407402299,3227921.03262665,1912046.8555422549,1315874.177084395,A,26,61,2676.67738168544,3747.34833435961,20956205.95238284,22282070.03670107,0.050000000000000266,0.14084576216708258,0.592346230349498
Fairview,424555,A,3,3944946.0120304,555628.927772414,3389317.08425798,2007649.1983193662,1381667.8859386137,A,26,61,2676.67738168544,3747.34833435961,20956205.95238284,22282070.03670107,0.050000000000000266,0.14084576216708258,0.592346230349498
Fairview,424555,A,4,4142193.31263192,583410.374161035,3558782.93847088,2108031.6582353353,1450751.2802355448,A,26,61,2676.67738168544,3747.34833435961,20956205.95238284,22282070.03670107,0.050000000000000266,0.14084576216708258,0.592346230349498
Fairview,424555,A,5,4349302.97826351,612580.892869087,3736722.08539443,2213433.2411471056,1523288.8442473244,A,26,61,2676.67738168544,3747.34833435961,20956205.95238284,22282070.03670107,0.050000000000000266,0.14084576216708258,0.592346230349498
Fairview,192939,C,1,1324845.50416498,156643.495244109,1168202.00892087,736951.1538687601,431250.8550521099,C,22,37,1495.98634164971,2094.3808783096,25161006.46528278,26622215.555484388,0.05000000000000093,0.11823529215418815,0.63084222441076
Fairview,192939,C,2,1391087.77937323,164475.670006315,1226612.10936692,773798.7115622023,452813.39780471777,C,22,37,1495.98634164971,2094.3808783096,25161006.46528278,26622215.555484388,0.05000000000000093,0.11823529215418815,0.63084222441076
Fairview,192939,C,3,1460642.16834189,172699.453506631,1287942.71483526,812488.6471403086,475454.06769495143,C,22,37,1495.98634164971,2094.3808783096,25161006.46528278,26622215.555484388,0.05000000000000093,0.11823529215418815,0.63084222441076
Fairview,192939,C,4,1533674.27675899,181334.426181962,1352339.85057703,853113.0794973285,499226.7710797016,C,22,37,1495.98634164971,2094.3808783096,25161006.46528278,26622215.555484388,0.05000000000000093,0.11823529215418815,0.63084222441076
Fairview,192939,C,5,1610357.99059694,190401.14749106,1419956.84310588,895768.7334721939,524188.10963368614,C,22,37,1495.98634164971,2094.3808783096,25161006.46528278,26622215.555484388,0.05000000000000093,0.11823529215418815,0.63084222441076
Fairview,103727,C,1,1044302.56039787,58324.8106150639,985977.749782806,500663.40838280285,485314.3414000032,C,16,38,1257.58978853308,1760.62570394631,23204677.374612436,24769158.097764254,0.04999999999999938,0.0558504908700433,0.5077836781743709
Fairview,103727,C,2,1096517.68841776,61241.0511458172,1035276.63727194,525696.5788019397,509580.0584700003,C,16,38,1257.58978853308,1760.62570394631,23204677.374612436,24769158.097764254,0.04999999999999938,0.0558504908700433,0.5077836781743709
